"target","name","club","bowstyle","gender","experience",
"47D","Alexander Broadbent","University of Huddersfield","Recurve","M","E",""
"48A","Clement Gavrila","University of London","Barebow","M","N",""
"48B","Darren Machin","University of Leeds","Longbow","M","E",""
"48C","Michael Wallhead","University of Huddersfield","Recurve","M","E",""
"48D","Anthony Farrell","University of East Anglia","Recurve","M","E",""
"49A","Jonathan Biderman","University of London","Barebow","M","N",""
"49B","Marcus Zhou","University of Leeds","Recurve","M","E",""
"49C","Stephen Wilkinson","University of Huddersfield","Recurve","M","E",""
"49D","David Whittle","Durham University","Barebow","M","E",""
"50A","Bin Samin Asmin Ibrahim","University of London","Recurve","M","N",""
"50B","Stuart Croft","University of Leeds","Barebow","M","E",""
"50C","Jennifer Parkin","University of Huddersfield","Barebow","W","E",""
"50D","Robert Russell","Durham University","Recurve","M","E",""
"51A","Joss Smith","University of London","Recurve","M","N",""
"51B","Kelly Humprhies","University of Leeds","Recurve","W","N",""
"51C","Andrew Wallis","Durham University","Recurve","M","E",""
"51D","Sarah Nash","University of Plymouth","Longbow","W","N",""
"52A","Annie White","Oxford University","Longbow","W","E",""
"52B","Bilal Saloo","University of Leeds","Recurve","M","N",""
"52C","Caron Hutchinson","University of East Anglia","Recurve","W","N",""
"52D","Craig Carvey","University of London","Longbow","M","E",""
